InventoryItem,Parent
GINGER PASTE  ADRAK PASTE,DAAL GHOST 
GARLIC PASTE  LEHSAN PASTE,DAAL GHOST 
BHAJIA CHILLIES - BIG PAKORA MIRCH,DAAL GHOST 
MASOOR DAAL RED WASHED,DAAL GHOST 
CABBAGE BAND GOBI,CHICKEN FRIED RICE 
WHITE PEPPER POWDER,CHICKEN FRIED RICE 
EVA (Cooking Oil  liter Pkt),CHICKEN FRIED RICE 
CARROT - GAJAR,CHICKEN FRIED RICE 
SPRING ONION - LILY PIYAZ,CHICKEN FRIED RICE 
CHICKEN BONELESS,CHICKEN FRIED RICE 
EGG ,CHICKEN FRIED RICE 
SELA RICE,CHICKEN FRIED RICE 
CUMMIN SEEDS - ZEERA,CHICKEN FRIED RICE 
CHICKEN POWDER,CHICKEN FRIED RICE 
BLACK PEPPER POWDER,CHICKEN FRIED RICE 
SALT,BEEF HALEEM
BEEF MEAT,BEEF HALEEM
Haleem Mix Loose,BEEF HALEEM
SUNT - GINGER ADRAK POWDER,BEEF HALEEM
CUMMIN SEEDS - ZEERA,BEEF HALEEM
CUMMIN POWDER - ZEERA,BEEF HALEEM
CHAT MASALA,BEEF HALEEM
GINGER - ADRAK,BEEF HALEEM
GINGER PASTE  ADRAK PASTE,BEEF HALEEM
GARLIC PASTE  LEHSAN PASTE,BEEF HALEEM
SAUF FENNEL SAUF POWDER,BEEF HALEEM
EVA (Cooking Oil  liter Pkt),BEEF HALEEM
CHICKEN POWDER,BEEF HALEEM
TURMERIC POWDER - HALDI,BEEF HALEEM
CORIANDER POWDER - DHANIA,BEEF HALEEM
GARAM MASALA POWDER,BEEF HALEEM
ONION BIRISTA,BEEF HALEEM
LEMON,BEEF HALEEM
PODINA MINT LEAVES,BEEF HALEEM
 DAHI CURD,LASSI
CUMMIN POWDER - ZEERA,LASSI
SALT,LASSI
MUTTON BOTI CUT,Malvi Gosht Tarkari
ONION,Malvi Gosht Tarkari
 DAHI CURD,Malvi Gosht Tarkari
BHAJIA CHILLIES - BIG PAKORA MIRCH,Malvi Gosht Tarkari
CUMMIN SEEDS - ZEERA,Malvi Gosht Tarkari
CUMMIN POWDER - ZEERA,Malvi Gosht Tarkari
GINGER PASTE  ADRAK PASTE,Malvi Gosht Tarkari
GARLIC PASTE  LEHSAN PASTE,Malvi Gosht Tarkari
GREEN CHILLIES SMALL PASTE CHOTI MIRCH,Malvi Gosht Tarkari
TURMERIC POWDER - HALDI,Malvi Gosht Tarkari
