InventoryItem,Parent
TOMATO,"MIX VEGETABLE SABZI (PHOOL GOBI, GAJJAR, MATTAR, ALOO, SHIMLA, MARUKADU)"
GINGER PASTE  ADRAK PASTE,"MIX VEGETABLE SABZI (PHOOL GOBI, GAJJAR, MATTAR, ALOO, SHIMLA, MARUKADU)"
GARLIC PASTE  LEHSAN PASTE,"MIX VEGETABLE SABZI (PHOOL GOBI, GAJJAR, MATTAR, ALOO, SHIMLA, MARUKADU)"
CORIANDER - KOTHMIR DHANIA,"MIX VEGETABLE SABZI (PHOOL GOBI, GAJJAR, MATTAR, ALOO, SHIMLA, MARUKADU)"
CORIANDER POWDER - DHANIA,"MIX VEGETABLE SABZI (PHOOL GOBI, GAJJAR, MATTAR, ALOO, SHIMLA, MARUKADU)"
CHICKEN POWDER,"MIX VEGETABLE SABZI (PHOOL GOBI, GAJJAR, MATTAR, ALOO, SHIMLA, MARUKADU)"
EVA (Cooking Oil  liter Pkt),"MIX VEGETABLE SABZI (PHOOL GOBI, GAJJAR, MATTAR, ALOO, SHIMLA, MARUKADU)"
SALT,"MIX VEGETABLE SABZI (PHOOL GOBI, GAJJAR, MATTAR, ALOO, SHIMLA, MARUKADU)"
VEGETABLE MASALA,"MIX VEGETABLE SABZI (PHOOL GOBI, GAJJAR, MATTAR, ALOO, SHIMLA, MARUKADU)"
CAULIFLOWER - GOBI,"MIX VEGETABLE SABZI (PHOOL GOBI, GAJJAR, MATTAR, ALOO, SHIMLA, MARUKADU)"
MATTAR PEAS,"MIX VEGETABLE SABZI (PHOOL GOBI, GAJJAR, MATTAR, ALOO, SHIMLA, MARUKADU)"
DUDHI LOKHI,"MIX VEGETABLE SABZI (PHOOL GOBI, GAJJAR, MATTAR, ALOO, SHIMLA, MARUKADU)"
CUMMIN SEEDS - ZEERA,"MIX VEGETABLE SABZI (PHOOL GOBI, GAJJAR, MATTAR, ALOO, SHIMLA, MARUKADU)"
CUMMIN POWDER - ZEERA,"MIX VEGETABLE SABZI (PHOOL GOBI, GAJJAR, MATTAR, ALOO, SHIMLA, MARUKADU)"
TURMERIC POWDER - HALDI,"MIX VEGETABLE SABZI (PHOOL GOBI, GAJJAR, MATTAR, ALOO, SHIMLA, MARUKADU)"
SELA RICE,BEEF BIRYANI
CORIANDER POWDER - DHANIA,BEEF BIRYANI
CHICKEN POWDER,BEEF BIRYANI
GARAM MASALA WHOLE,BEEF BIRYANI
ONION BIRISTA,BEEF BIRYANI
007 BIRYANI MASALA,BEEF BIRYANI
GREEN CHILLIES SMALL PASTE CHOTI MIRCH,BEEF BIRYANI
CORIANDER - KOTHMIR DHANIA,BEEF BIRYANI
PODINA MINT LEAVES,BEEF BIRYANI
BEEF MEAT,BEEF BIRYANI
SALT,BEEF BIRYANI
EVA (Cooking Oil  liter Pkt),BEEF BIRYANI
 DAHI CURD,BEEF BIRYANI
RED POTATO - LAL ALOO,BEEF BIRYANI
TOMATO,BEEF BIRYANI
GINGER PASTE  ADRAK PASTE,BEEF BIRYANI
GARLIC PASTE  LEHSAN PASTE,BEEF BIRYANI
VINEGAR,MUTTON BIRYANI
GARLIC PASTE  LEHSAN PASTE,MUTTON BIRYANI
GREEN CHILLIES SMALL PASTE CHOTI MIRCH,MUTTON BIRYANI
CORIANDER - KOTHMIR DHANIA,MUTTON BIRYANI
MUTTON BOTI CUT,MUTTON BIRYANI
SALT,MUTTON BIRYANI
Tez Pattak,MUTTON BIRYANI
007 BIRYANI MASALA,MUTTON BIRYANI
EVA (Cooking Oil  liter Pkt),MUTTON BIRYANI
 DAHI CURD,MUTTON BIRYANI
RED POTATO - LAL ALOO,MUTTON BIRYANI
TOMATO,MUTTON BIRYANI
GINGER PASTE  ADRAK PASTE,MUTTON BIRYANI
CUMMIN POWDER - ZEERA,MUTTON BIRYANI
CORIANDER POWDER - DHANIA,MUTTON BIRYANI
GARAM MASALA POWDER,MUTTON BIRYANI
CHICKEN POWDER,MUTTON BIRYANI
GARAM MASALA WHOLE,MUTTON BIRYANI
ONION BIRISTA,MUTTON BIRYANI
SELA RICE,MUTTON BIRYANI
TURMERIC POWDER - HALDI,BUTTER CHICKEN
EVA (Cooking Oil  liter Pkt),BUTTER CHICKEN
BUTTER,BUTTER CHICKEN
ONION,BUTTER CHICKEN
TOMATO,BUTTER CHICKEN
GINGER PASTE  ADRAK PASTE,BUTTER CHICKEN
CORIANDER POWDER - DHANIA,BUTTER CHICKEN
SALT,BUTTER CHICKEN
GARAM MASALA WHOLE,BUTTER CHICKEN
SUNT - GINGER ADRAK POWDER,BUTTER CHICKEN
ONION BIRISTA,BUTTER CHICKEN
GINGER - ADRAK,BUTTER CHICKEN
BLACK PEPPER POWDER,BUTTER CHICKEN
CUMMIN POWDER - ZEERA,BUTTER CHICKEN
GARLIC PASTE  LEHSAN PASTE,BUTTER CHICKEN
GREEN CHILLIES SMALL PASTE CHOTI MIRCH,BUTTER CHICKEN
CORIANDER - KOTHMIR DHANIA,BUTTER CHICKEN
CHICKEN BONELESS,BUTTER CHICKEN
Cream Nestle pkt,BUTTER CHICKEN
Kajju,BUTTER CHICKEN
CUMMIN SEEDS - ZEERA,CHICKEN QEEMA WITH ALOOW
CUMMIN POWDER - ZEERA,CHICKEN QEEMA WITH ALOOW
TURMERIC POWDER - HALDI,CHICKEN QEEMA WITH ALOOW
CHICKEN POWDER,CHICKEN QEEMA WITH ALOOW
ONION BIRISTA,CHICKEN QEEMA WITH ALOOW
EVA (Cooking Oil  liter Pkt),CHICKEN QEEMA WITH ALOOW
QEEMA MASALA,CHICKEN QEEMA WITH ALOOW
 DAHI CURD,CHICKEN QEEMA WITH ALOOW
RED POTATO - LAL ALOO,CHICKEN QEEMA WITH ALOOW
TOMATO,CHICKEN QEEMA WITH ALOOW
GINGER PASTE  ADRAK PASTE,CHICKEN QEEMA WITH ALOOW
GARLIC PASTE  LEHSAN PASTE,CHICKEN QEEMA WITH ALOOW
CORIANDER - KOTHMIR DHANIA,CHICKEN QEEMA WITH ALOOW
CHICKEN QEEMA,CHICKEN QEEMA WITH ALOOW
CUMMIN SEEDS - ZEERA,CHICKEN KARI CHAWWAL TARKARI
CUMMIN POWDER - ZEERA,CHICKEN KARI CHAWWAL TARKARI
CORIANDER POWDER - DHANIA,CHICKEN KARI CHAWWAL TARKARI
CHICKEN POWDER,CHICKEN KARI CHAWWAL TARKARI
BLACK PEPPER POWDER,CHICKEN KARI CHAWWAL TARKARI
WHITE PEPPER POWDER,CHICKEN KARI CHAWWAL TARKARI
GINGER PASTE  ADRAK PASTE,CHICKEN KARI CHAWWAL TARKARI
GARLIC PASTE  LEHSAN PASTE,CHICKEN KARI CHAWWAL TARKARI
CORIANDER - KOTHMIR DHANIA,CHICKEN KARI CHAWWAL TARKARI
CHICKEN KARAHI CUT MEAT,CHICKEN KARI CHAWWAL TARKARI
MILK TETRAPACK 1000ml,CHICKEN KARI CHAWWAL TARKARI
Badiyan,CHICKEN KARI CHAWWAL TARKARI
KARI MASALA,CHICKEN KARI CHAWWAL TARKARI
COCONUT POWDER KHOPRRA,CHICKEN KARI CHAWWAL TARKARI
COCONUT MILK POWDER,CHICKEN KARI CHAWWAL TARKARI
EVA (Cooking Oil  liter Pkt),CHICKEN KARI CHAWWAL TARKARI
 DAHI CURD,CHICKEN KARI CHAWWAL TARKARI
ONION,CHICKEN KARI CHAWWAL TARKARI
ONION,"MIX SABZI ALOU , PALAK, MATTAR"
RED POTATO - LAL ALOO,"MIX SABZI ALOU , PALAK, MATTAR"
TOMATO,"MIX SABZI ALOU , PALAK, MATTAR"
MATTAR PEAS,"MIX SABZI ALOU , PALAK, MATTAR"
PALAK,"MIX SABZI ALOU , PALAK, MATTAR"
EVA (Cooking Oil  liter Pkt),"MIX SABZI ALOU , PALAK, MATTAR"
SALT,"MIX SABZI ALOU , PALAK, MATTAR"
CUMMIN POWDER - ZEERA,"MIX SABZI ALOU , PALAK, MATTAR"
METHI BHAJI - FENUGREEK,"MIX SABZI ALOU , PALAK, MATTAR"
GARAM MASALA POWDER,"MIX SABZI ALOU , PALAK, MATTAR"
GINGER PASTE  ADRAK PASTE,"MIX SABZI ALOU , PALAK, MATTAR"
GARLIC PASTE  LEHSAN PASTE,"MIX SABZI ALOU , PALAK, MATTAR"
CUMMIN SEEDS - ZEERA,"MIX SABZI ALOU , PALAK, MATTAR"
CHICKEN POWDER,"MIX SABZI ALOU , PALAK, MATTAR"
CORIANDER POWDER - DHANIA,"MIX SABZI ALOU , PALAK, MATTAR"
TURMERIC POWDER - HALDI,"MIX SABZI ALOU , PALAK, MATTAR"
CUMMIN SEEDS - ZEERA,CHIICKEN QORMA
CHICKEN POWDER,CHIICKEN QORMA
ONION BIRISTA,CHIICKEN QORMA
KORMA MASALA,CHIICKEN QORMA
EVA (Cooking Oil  liter Pkt),CHIICKEN QORMA
Dahi ,CHIICKEN QORMA
TOMATO,CHIICKEN QORMA
GINGER - ADRAK,CHIICKEN QORMA
GARLIC - LEHSAN,CHIICKEN QORMA
GREEN CHILLIES SMALL PASTE CHOTI MIRCH,CHIICKEN QORMA
CHICKEN KARAHI CUT MEAT,CHIICKEN QORMA
CORIANDER - KOTHMIR DHANIA,CHIICKEN QORMA
CHICKEN POWDER,PASANDA TARKARI
GARAM MASALA WHOLE,PASANDA TARKARI
Coconut Cream Powder,PASANDA TARKARI
ONION BIRISTA,PASANDA TARKARI
KORMA MASALA,PASANDA TARKARI
ALMOND WHOLE,PASANDA TARKARI
GREEN CHILLIES SMALL PASTE CHOTI MIRCH,PASANDA TARKARI
CORIANDER - KOTHMIR DHANIA,PASANDA TARKARI
MUTTON BONELESS,PASANDA TARKARI
Kajju,PASANDA TARKARI
EVA (Cooking Oil  liter Pkt),PASANDA TARKARI
 DAHI CURD,PASANDA TARKARI
ONION,PASANDA TARKARI
GINGER - ADRAK,PASANDA TARKARI
GARLIC - LEHSAN,PASANDA TARKARI
CUMMIN SEEDS - ZEERA,CHICKEN BIHARI QEEMA
GARAM MASALA POWDER,CHICKEN BIHARI QEEMA
ONION BIRISTA,CHICKEN BIHARI QEEMA
EVA (Cooking Oil  liter Pkt),CHICKEN BIHARI QEEMA
 DAHI CURD,CHICKEN BIHARI QEEMA
GINGER PASTE  ADRAK PASTE,CHICKEN BIHARI QEEMA
CUMMIN POWDER - ZEERA,CHICKEN BIHARI QEEMA
SALT,CHICKEN BIHARI QEEMA
BIHRAI KABAB MASALA SHAN,CHICKEN BIHARI QEEMA
GARLIC PASTE  LEHSAN PASTE,CHICKEN BIHARI QEEMA
CORIANDER - KOTHMIR DHANIA,CHICKEN BIHARI QEEMA
CHICKEN QEEMA,CHICKEN BIHARI QEEMA
CHICKEN POWDER,CHICKEN BIHARI QEEMA
TURMERIC POWDER - HALDI,CHICKEN BIHARI QEEMA
CORIANDER POWDER - DHANIA,CHICKEN BIHARI QEEMA
CUMMIN SEEDS - ZEERA,CHICKEN QEEMA
CUMMIN POWDER - ZEERA,CHICKEN QEEMA
TURMERIC POWDER - HALDI,CHICKEN QEEMA
CORIANDER POWDER - DHANIA,CHICKEN QEEMA
GARAM MASALA POWDER,CHICKEN QEEMA
CHICKEN POWDER,CHICKEN QEEMA
EVA (Cooking Oil  liter Pkt),CHICKEN QEEMA
CORIANDER - KOTHMIR DHANIA,CHICKEN QEEMA
ONION BIRISTA,CHICKEN QEEMA
SALT,CHICKEN QEEMA
ONION,CHICKEN QEEMA
TOMATO,CHICKEN QEEMA
GINGER PASTE  ADRAK PASTE,CHICKEN QEEMA
GARLIC PASTE  LEHSAN PASTE,CHICKEN QEEMA
BASMATI RICE,KITCHRI DAAL MONG WASHED
EVA (Cooking Oil  liter Pkt),KITCHRI DAAL MONG WASHED
MOONG DAAL YELLOW,KITCHRI DAAL MONG WASHED
SALT,KITCHRI DAAL MONG WASHED
CUMMIN SEEDS - ZEERA,KITCHRI DAAL MONG WASHED
CUMMIN SEEDS - ZEERA,VEGETABLE BIRYANI
CUMMIN POWDER - ZEERA,VEGETABLE BIRYANI
TURMERIC POWDER - HALDI,VEGETABLE BIRYANI
CORIANDER POWDER - DHANIA,VEGETABLE BIRYANI
GARAM MASALA POWDER,VEGETABLE BIRYANI
CHICKEN POWDER,VEGETABLE BIRYANI
GREEN CAPSICUM,VEGETABLE BIRYANI
BEETROOT,VEGETABLE BIRYANI
SELA RICE,VEGETABLE BIRYANI
PODINA MINT LEAVES,VEGETABLE BIRYANI
BHAJIA CHILLIES - BIG PAKORA MIRCH,VEGETABLE BIRYANI
CAULIFLOWER - GOBI,VEGETABLE BIRYANI
MATTAR PEAS,VEGETABLE BIRYANI
DUDHI LOKHI,VEGETABLE BIRYANI
CARROT - GAJAR,VEGETABLE BIRYANI
ONION,VEGETABLE BIRYANI
TOMATO,VEGETABLE BIRYANI
GINGER PASTE  ADRAK PASTE,VEGETABLE BIRYANI
GARLIC PASTE  LEHSAN PASTE,VEGETABLE BIRYANI
GREEN CHILLIES SMALL PASTE CHOTI MIRCH,VEGETABLE BIRYANI
CORIANDER - KOTHMIR DHANIA,VEGETABLE BIRYANI
GARAM MASALA WHOLE,VEGETABLE BIRYANI
Alubukhara (Plam),VEGETABLE BIRYANI
VINEGAR,VEGETABLE BIRYANI
EVA (Cooking Oil  liter Pkt),VEGETABLE BIRYANI
 DAHI CURD,VEGETABLE BIRYANI
RED POTATO - LAL ALOO,VEGETABLE BIRYANI
CUMMIN SEEDS - ZEERA,CHICKEN MAKHNI
CUMMIN POWDER - ZEERA,CHICKEN MAKHNI
TURMERIC POWDER - HALDI,CHICKEN MAKHNI
CHICKEN POWDER,CHICKEN MAKHNI
BLACK PEPPER POWDER,CHICKEN MAKHNI
WHITE PEPPER POWDER,CHICKEN MAKHNI
GREEN CHILLIES SMALL PASTE CHOTI MIRCH,CHICKEN MAKHNI
CORIANDER - KOTHMIR DHANIA,CHICKEN MAKHNI
CHICKEN KARAHI CUT MEAT,CHICKEN MAKHNI
EVA (Cooking Oil  liter Pkt),CHICKEN MAKHNI
BUTTER,CHICKEN MAKHNI
Cream Nestle pkt,CHICKEN MAKHNI
TOMATO,CHICKEN MAKHNI
GINGER PASTE  ADRAK PASTE,CHICKEN MAKHNI
GARLIC PASTE  LEHSAN PASTE,CHICKEN MAKHNI
CUMMIN SEEDS - ZEERA,MASH DAAL TARKARI
CUMMIN POWDER - ZEERA,MASH DAAL TARKARI
TURMERIC POWDER - HALDI,MASH DAAL TARKARI
CORIANDER POWDER - DHANIA,MASH DAAL TARKARI
GARAM MASALA POWDER,MASH DAAL TARKARI
CHICKEN POWDER,MASH DAAL TARKARI
CORIANDER - KOTHMIR DHANIA,MASH DAAL TARKARI
SALT,MASH DAAL TARKARI
MASH DAAL,MASH DAAL TARKARI
BLACK PEPPER POWDER,MASH DAAL TARKARI
EVA (Cooking Oil  liter Pkt),MASH DAAL TARKARI
ONION,MASH DAAL TARKARI
TOMATO,MASH DAAL TARKARI
GINGER PASTE  ADRAK PASTE,MASH DAAL TARKARI
GARLIC PASTE  LEHSAN PASTE,MASH DAAL TARKARI
CUMMIN SEEDS - ZEERA,Chicken Karahi
CUMMIN POWDER - ZEERA,Chicken Karahi
TURMERIC POWDER - HALDI,Chicken Karahi
CORIANDER POWDER - DHANIA,Chicken Karahi
GARAM MASALA POWDER,Chicken Karahi
CHICKEN POWDER,Chicken Karahi
GARLIC PASTE  LEHSAN PASTE,Chicken Karahi
CORIANDER - KOTHMIR DHANIA,Chicken Karahi
CHICKEN KARAHI CUT MEAT,Chicken Karahi
EVA (Cooking Oil  liter Pkt),Chicken Karahi
ONION,Chicken Karahi
BLACK PEPPER POWDER,Chicken Karahi
WHITE PEPPER POWDER,Chicken Karahi
SALT,Chicken Karahi
 DAHI CURD,Chicken Karahi
TOMATO,Chicken Karahi
GINGER PASTE  ADRAK PASTE,Chicken Karahi
PLAIN PARATHA,MUTTON ROLL
CUMMIN POWDER - ZEERA,MUTTON ROLL
CUMMIN SEEDS - ZEERA,MUTTON ROLL
TURMERIC POWDER - HALDI,MUTTON ROLL
CORIANDER POWDER - DHANIA,MUTTON ROLL
CHICKEN POWDER,MUTTON ROLL
MUTTON BONELESS,MUTTON ROLL
WHITE PEPPER POWDER,MUTTON ROLL
SALT,MUTTON ROLL
EVA (Cooking Oil  liter Pkt),MUTTON ROLL
GINGER PASTE  ADRAK PASTE,MUTTON ROLL
GARLIC PASTE  LEHSAN PASTE,MUTTON ROLL
GREEN CHILLIES SMALL PASTE CHOTI MIRCH,MUTTON ROLL
CHICKEN POWDER,MASOOR DAAL
EVA (Cooking Oil  liter Pkt),MASOOR DAAL
ONION,MASOOR DAAL
TOMATO,MASOOR DAAL
CORIANDER - KOTHMIR DHANIA,MASOOR DAAL
CORIANDER POWDER - DHANIA,MASOOR DAAL
MASOOR WHOLE,MASOOR DAAL
GARAM MASALA POWDER,MASOOR DAAL
TUAR DAAL,MASOOR DAAL
CHAT MASALA,MASOOR DAAL
SAUF FENNEL SAUF POWDER,MASOOR DAAL
CUMMIN POWDER - ZEERA,MASOOR DAAL
TURMERIC POWDER - HALDI,MASOOR DAAL
CUMMIN SEEDS - ZEERA,MASOOR DAAL
GINGER PASTE  ADRAK PASTE,MASOOR DAAL
GARLIC PASTE  LEHSAN PASTE,MASOOR DAAL
SALT,MASOOR DAAL
MAIDA,CHICKEN PASTA
BUTTER,CHICKEN PASTA
CUMMIN SEEDS - ZEERA,CHICKEN PASTA
BLACK PEPPER POWDER,CHICKEN PASTA
WHITE PEPPER POWDER,CHICKEN PASTA
CHICKEN CUBES (51 GRMS),CHICKEN PASTA
CHICKEN BONELESS,CHICKEN PASTA
PASTA (400 grm),CHICKEN PASTA
EVA (Cooking Oil  liter Pkt),CHICKEN PASTA
MILK TETRAPACK 1000ml,CHICKEN PASTA
GINGER PASTE  ADRAK PASTE,CHICKEN PASTA
GARLIC PASTE  LEHSAN PASTE,CHICKEN PASTA
GREEN CHILLIES SMALL PASTE CHOTI MIRCH,CHICKEN PASTA
GUWAR CLUSTER BEAN.,SABZI ALOO GUWAR TARKARI
RED POTATO - LAL ALOO,SABZI ALOO GUWAR TARKARI
ONION,SABZI ALOO GUWAR TARKARI
TOMATO,SABZI ALOO GUWAR TARKARI
CORIANDER - KOTHMIR DHANIA,SABZI ALOO GUWAR TARKARI
CUMMIN SEEDS - ZEERA,SABZI ALOO GUWAR TARKARI
GREEN CHILLIES SMALL PASTE CHOTI MIRCH,SABZI ALOO GUWAR TARKARI
SALT,SABZI ALOO GUWAR TARKARI
GARLIC PASTE  LEHSAN PASTE,SABZI ALOO GUWAR TARKARI
CHICKEN POWDER,SABZI ALOO GUWAR TARKARI
CORIANDER POWDER - DHANIA,SABZI ALOO GUWAR TARKARI
CUMMIN POWDER - ZEERA,SABZI ALOO GUWAR TARKARI
GARAM MASALA POWDER,SABZI ALOO GUWAR TARKARI
EVA (Cooking Oil  liter Pkt),SABZI ALOO GUWAR TARKARI
GINGER PASTE  ADRAK PASTE,SABZI ALOO GUWAR TARKARI
MAIDA,COCONUT SOUP 
WHITE PEPPER POWDER,COCONUT SOUP 
COCONUT MILK POWDER,COCONUT SOUP 
SALT,COCONUT SOUP 
CHICKEN CUBES (51 GRMS),COCONUT SOUP 
EVA (Cooking Oil  liter Pkt),COCONUT SOUP 
Cream Nestle pkt,COCONUT SOUP 
GREEN CHILLIES SMALL PASTE CHOTI MIRCH,COCONUT SOUP 
SALT,MUTTON TARKARI PLAIN
MUTTON BOTI CUT,MUTTON TARKARI PLAIN
EVA (Cooking Oil  liter Pkt),MUTTON TARKARI PLAIN
CUMMIN SEEDS - ZEERA,MUTTON TARKARI PLAIN
CUMMIN POWDER - ZEERA,MUTTON TARKARI PLAIN
CORIANDER SEEDS - DHANIA,MUTTON TARKARI PLAIN
GINGER PASTE  ADRAK PASTE,MUTTON TARKARI PLAIN
GARLIC PASTE  LEHSAN PASTE,MUTTON TARKARI PLAIN
ONION,MUTTON TARKARI PLAIN
TOMATO,MUTTON TARKARI PLAIN
RED POTATO - LAL ALOO,MUTTON TARKARI PLAIN
 DAHI CURD,MUTTON TARKARI PLAIN
CORIANDER POWDER - DHANIA,MUTTON TARKARI PLAIN
TURMERIC POWDER - HALDI,MUTTON TARKARI PLAIN
GARAM MASALA POWDER,MUTTON TARKARI PLAIN
CHICKEN POWDER,MUTTON TARKARI PLAIN
ONION BIRISTA,MUTTON TARKARI PLAIN
CORIANDER - KOTHMIR DHANIA,MUTTON TARKARI PLAIN
SALT,MUTTON QEEMA ALO MATTAR
MUTTON MINCE,MUTTON QEEMA ALO MATTAR
ONION,MUTTON QEEMA ALO MATTAR
TOMATO,MUTTON QEEMA ALO MATTAR
RED POTATO - LAL ALOO,MUTTON QEEMA ALO MATTAR
MATTAR PEAS,MUTTON QEEMA ALO MATTAR
TURMERIC POWDER - HALDI,MUTTON QEEMA ALO MATTAR
CHICKEN POWDER,MUTTON QEEMA ALO MATTAR
EVA (Cooking Oil  liter Pkt),MUTTON QEEMA ALO MATTAR
GINGER - ADRAK,MUTTON QEEMA ALO MATTAR
CORIANDER - KOTHMIR DHANIA,MUTTON QEEMA ALO MATTAR
 DAHI CURD,MUTTON QEEMA ALO MATTAR
CUMMIN SEEDS - ZEERA,MUTTON QEEMA ALO MATTAR
CUMMIN POWDER - ZEERA,MUTTON QEEMA ALO MATTAR
CORIANDER POWDER - DHANIA,MUTTON QEEMA ALO MATTAR
CHICKEN DRUMSTICK,FRIED CHICKEN BOHRA
EGG ,FRIED CHICKEN BOHRA
BREAD CRUMS,FRIED CHICKEN BOHRA
SALT,FRIED CHICKEN BOHRA
CUMMIN SEEDS - ZEERA,FRIED CHICKEN BOHRA
CUMMIN POWDER - ZEERA,FRIED CHICKEN BOHRA
CHICKEN POWDER,FRIED CHICKEN BOHRA
EVA (Cooking Oil  liter Pkt),FRIED CHICKEN BOHRA
TURMERIC POWDER - HALDI,FRIED CHICKEN BOHRA
CORIANDER POWDER - DHANIA,FRIED CHICKEN BOHRA
GARAM MASALA POWDER,FRIED CHICKEN BOHRA
GINGER PASTE  ADRAK PASTE,FRIED CHICKEN BOHRA
GARLIC PASTE  LEHSAN PASTE,FRIED CHICKEN BOHRA
GREEN CHILLIES SMALL PASTE CHOTI MIRCH,FRIED CHICKEN BOHRA
SALT,ANDA DAAL GOTALA
CHANNA DAAL BROKEN,ANDA DAAL GOTALA
EGG ,ANDA DAAL GOTALA
EVA (Cooking Oil  liter Pkt),ANDA DAAL GOTALA
ONION,ANDA DAAL GOTALA
TOMATO,ANDA DAAL GOTALA
CHICKEN POWDER,ANDA DAAL GOTALA
GINGER PASTE  ADRAK PASTE,ANDA DAAL GOTALA
GARLIC PASTE  LEHSAN PASTE,ANDA DAAL GOTALA
GREEN CHILLIES SMALL PASTE CHOTI MIRCH,ANDA DAAL GOTALA
BHAJIA CHILLIES - BIG PAKORA MIRCH,ANDA DAAL GOTALA
CUMMIN SEEDS - ZEERA,ANDA DAAL GOTALA
CUMMIN POWDER - ZEERA,ANDA DAAL GOTALA
TURMERIC POWDER - HALDI,ANDA DAAL GOTALA
CORIANDER POWDER - DHANIA,ANDA DAAL GOTALA
CORIANDER - KOTHMIR DHANIA,ANDA DAAL GOTALA
SALT,CHICKEN PULAW
CHICKEN KARAHI CUT MEAT,CHICKEN PULAW
EVA (Cooking Oil  liter Pkt),CHICKEN PULAW
BASMATI RICE,CHICKEN PULAW
ONION,CHICKEN PULAW
TOMATO,CHICKEN PULAW
GINGER PASTE  ADRAK PASTE,CHICKEN PULAW
GARLIC PASTE  LEHSAN PASTE,CHICKEN PULAW
WHITE PEPPER POWDER,CHICKEN PULAW
 DAHI CURD,CHICKEN PULAW
POTATO (BIG SIZE),CHICKEN PULAW
Tez Pattak,CHICKEN PULAW
CORIANDER - KOTHMIR DHANIA,CHICKEN PULAW
PODINA MINT LEAVES,CHICKEN PULAW
Alubukhara (Plam),CHICKEN PULAW
CUMMIN SEEDS - ZEERA,CHICKEN PULAW
GARAM MASALA WHOLE,CHICKEN PULAW
CHICKEN POWDER,CHICKEN PULAW
SALT,MURG CHOWLA
CHICKEN KARAHI CUT MEAT,MURG CHOWLA
CHANNA WHOLE,MURG CHOWLA
EVA (Cooking Oil  liter Pkt),MURG CHOWLA
ONION,MURG CHOWLA
TOMATO,MURG CHOWLA
GINGER PASTE  ADRAK PASTE,MURG CHOWLA
GARLIC PASTE  LEHSAN PASTE,MURG CHOWLA
GREEN CHILLIES SMALL PASTE CHOTI MIRCH,MURG CHOWLA
CORIANDER - KOTHMIR DHANIA,MURG CHOWLA
CUMMIN SEEDS - ZEERA,MURG CHOWLA
CUMMIN POWDER - ZEERA,MURG CHOWLA
CORIANDER POWDER - DHANIA,MURG CHOWLA
TURMERIC POWDER - HALDI,MURG CHOWLA
GARAM MASALA POWDER,MURG CHOWLA
SALT,CHICKEN KORMA
CHICKEN KARAHI CUT MEAT,CHICKEN KORMA
 DAHI CURD,CHICKEN KORMA
ONION BIRISTA,CHICKEN KORMA
GARAM MASALA WHOLE,CHICKEN KORMA
CUMMIN SEEDS - ZEERA,CHICKEN KORMA
KORMA MASALA,CHICKEN KORMA
CHICKEN POWDER,CHICKEN KORMA
GINGER PASTE  ADRAK PASTE,CHICKEN KORMA
GARLIC PASTE  LEHSAN PASTE,CHICKEN KORMA
EVA (Cooking Oil  liter Pkt),CHICKEN KORMA
Tez Pattak,CHICKEN KORMA
CORIANDER POWDER - DHANIA,CHICKEN KORMA
SALT,ALOOW TARKAR SLICE 
RED POTATO - LAL ALOO,ALOOW TARKAR SLICE 
ONION,ALOOW TARKAR SLICE 
TOMATO,ALOOW TARKAR SLICE 
CUMMIN SEEDS - ZEERA,ALOOW TARKAR SLICE 
CUMMIN POWDER - ZEERA,ALOOW TARKAR SLICE 
EVA (Cooking Oil  liter Pkt),ALOOW TARKAR SLICE 
CORIANDER POWDER - DHANIA,ALOOW TARKAR SLICE 
TURMERIC POWDER - HALDI,ALOOW TARKAR SLICE 
CHICKEN POWDER,ALOOW TARKAR SLICE 
CORIANDER - KOTHMIR DHANIA,ALOOW TARKAR SLICE 
GINGER PASTE  ADRAK PASTE,ALOOW TARKAR SLICE 
GARLIC PASTE  LEHSAN PASTE,ALOOW TARKAR SLICE 
SALT,BEEF SANDWICH
Beef Mince,BEEF SANDWICH
BREAD SLICE LARGE,BEEF SANDWICH
EVA (Cooking Oil  liter Pkt),BEEF SANDWICH
GARLIC PASTE  LEHSAN PASTE,BEEF SANDWICH
GINGER PASTE  ADRAK PASTE,BEEF SANDWICH
BUTTER,BEEF SANDWICH
CUMMIN SEEDS - ZEERA,BEEF SANDWICH
CHICKEN POWDER,BEEF SANDWICH
BLACK PEPPER POWDER,BEEF SANDWICH
WHITE PEPPER POWDER,BEEF SANDWICH
Mayonnaise,BEEF SANDWICH
SALT,CHICKEN MALAI BOTI 
CHICKEN BONELESS,CHICKEN MALAI BOTI 
Cream Nestle pkt,CHICKEN MALAI BOTI 
GINGER PASTE  ADRAK PASTE,CHICKEN MALAI BOTI 
GARLIC PASTE  LEHSAN PASTE,CHICKEN MALAI BOTI 
APPLE,MIX FRUIT SALAD
BANANA,MIX FRUIT SALAD
CUCUMBER - KEHRA,MIX FRUIT SALAD
SULTANA KISHMISH (WHITE),MIX FRUIT SALAD
Cream Nestle pkt,MIX FRUIT SALAD
CHAT MASALA,MIX FRUIT SALAD
CUMMIN SEEDS - ZEERA,MIX FRUIT SALAD
SALT,MIX FRUIT SALAD
SALT,BARTU
BLACK PEPPER POWDER,BARTU
WHITE PEPPER POWDER,BARTU
EVA (Cooking Oil  liter Pkt),BARTU
 DAHI CURD,BARTU
SPRING ONION - LILY PIYAZ,BARTU
BRINJAL - BENGAN,BARTU
RED POTATO - LAL ALOO,BARTU
